Term,With subdivisions ǂx etc.,Tag,Left match bib field,Term in MARC
Alexandria Indian Band,,[151],651,Alexandria Indian Band
Alexis Creek (First Nation),,[151],651,Alexis Creek (First Nation)
Alexis Nakota Sioux Nation,,[151],651,Alexis Nakota Sioux Nation
Algaaciq Native Village (St. Mary's),,[151],651,Algaaciq Native Village (St. Mary's)
Algonquian Indians,,[150],650,Algonquian Indians
Algonquian languages,,[150],650,Algonquian languages
Algonquian mythology,,[150],650,Algonquian mythology
Algonquian women,,[150],650,Algonquian women
Algonquin Indians,,[150],650,Algonquin Indians
Algonquin language,,[150],650,Algonquin language
Algonquin mythology,,[150],650,Algonquin mythology
Algonquins of Barriere Lake (First Nation),,[151],651,Algonquins of Barriere Lake (First Nation)
Algonquins of Pikwakanagan First Nation,,[151],651,Algonquins of Pikwakanagan First Nation
Allakaket Village,,[151],651,Allakaket Village
Allegany Indian Reservation (N.Y.),,[151],651,Allegany Indian Reservation (N.Y.)
Allentiac language,,[150],650,Allentiac language
Allotting agents (Indian allotments),,[150],650,Allotting agents (Indian allotments)
Alsea Indians,,[150],650,Alsea Indians
Alsea language,,[150],650,Alsea language
"Alturas Indian Rancheria, California",,[151],651,"Alturas Indian Rancheria, California"
Alutiiq Tribe of Old Harbor,,[151],651,Alutiiq Tribe of Old Harbor
Amahuaca Indians,,[150],650,Amahuaca Indians
Amahuaca language,,[150],650,Amahuaca language
American drama—Indian authors,y,[150],650,American drama ǂx Indian authors
American fiction—Indian authors,y,[150],650,American fiction ǂx Indian authors
American Indian . . .,n,[150],650,American Indian . . .
"American Indian Veterans National Memorial (Phoenix, Ariz.)",,[150],650,"American Indian Veterans National Memorial (Phoenix, Ariz.)"
American literature—Eskimo authors,y,[150],650,American literature ǂx Eskimo authors
American literature—Indian authors,y,[150],650,American literature ǂx Indian authors
American literature—Inuit authors,y,[150],650,American literature ǂx Inuit authors
American poetry—Eskimo authors,y,[150],650,American poetry ǂx Eskimo authors
American poetry—Indian authors,y,[150],650,American poetry ǂx Indian authors
American prose literature—Indian authors,y,[150],650,American prose literature ǂx Indian authors
"Amherst's Expedition against Ticonderoga and Crown Point, N.Y., 1759",,[150],650,"Amherst's Expedition against Ticonderoga and Crown Point, N.Y., 1759"
Amikwa language,,[150],650,Amikwa language
Ammassalimiut dialect,,[150],650,Ammassalimiut dialect
Ammassalimiut Eskimos,,[150],650,Ammassalimiut Eskimos
Amuesha Indians,,[150],650,Amuesha Indians
Amuesha language,,[150],650,Amuesha language
Amuesha philosophy,,[150],650,Amuesha philosophy
Amuzgo Indians,,[150],650,Amuzgo Indians
Amuzgo language,,[150],650,Amuzgo language
Amuzgo pottery,,[150],650,Amuzgo pottery
Amuzgo textile fabrics,,[150],650,Amuzgo textile fabrics
Anasazi Historical Site (Utah),,[151],651,Anasazi Historical Site (Utah)
Ancestral Pueblo architecture,,[150],650,Ancestral Pueblo architecture
Ancestral Pueblo culture,,[150],650,Ancestral Pueblo culture
Andaqui Indians,,[150],650,Andaqui Indians
Andaqui mythology,,[150],650,Andaqui mythology
Andoque Indians,,[150],650,Andoque Indians
Andoque language,,[150],650,Andoque language
Angling Lake Band,,[151],651,Angling Lake Band
Angoon Community Association,,[151],651,Angoon Community Association
Animbiigoo Zaagi'igan Anishinaabek (First Nation),,[151],651,Animbiigoo Zaagi'igan Anishinaabek (First Nation)
Anishinabe of Wauzhushk Onigum,,[151],651,Anishinabe of Wauzhushk Onigum
Anishnaabeg of Naongashiing,,[151],651,Anishnaabeg of Naongashiing
Annapolis Valley (First Nation),,[151],651,Annapolis Valley (First Nation)
Annette Islands Reserve (Alaska),,[151],651,Annette Islands Reserve (Alaska)
Anserma Indians,,[150],650,Anserma Indians
Anvik Village,,[151],651,Anvik Village
Apache baskets,,[150],650,Apache baskets
Apache dance,,[150],650,Apache dance
Apache Indians,,[150],650,Apache Indians
Apache languages,,[150],650,Apache languages
Apache masks,,[150],650,Apache masks
Apache mythology,,[150],650,Apache mythology
Apache pottery,,[150],650,Apache pottery
Apache sculpture,,[150],650,Apache sculpture
Apache Tribe of Oklahoma,,[151],651,Apache Tribe of Oklahoma
Apache women,,[150],650,Apache women
Apalachee Indians,,[150],650,Apalachee Indians
Apalachee language,,[150],650,Apalachee language
Apalachee pottery,,[150],650,Apalachee pottery
Apalachicola Indians,,[150],650,Apalachicola Indians
Apalachicola Tribe,,[151],651,Apalachicola Tribe
Apalai Indians,,[150],650,Apalai Indians
Apalai language,,[150],650,Apalai language
Apalakiri Indians,,[150],650,Apalakiri Indians
Apapocuva Indians,,[150],650,Apapocuva Indians
Apapocuva mythology,,[150],650,Apapocuva mythology
Apiacá Indians,,[150],650,Apiacá Indians
Apinagé Indians,,[150],650,Apinagé Indians
Apinagé language,,[150],650,Apinagé language
Apinagé mythology,,[150],650,Apinagé mythology
Arabela Indians,,[150],650,Arabela Indians
Arabela language,,[150],650,Arabela language
Araona Indians,,[150],650,Araona Indians
Araona language,,[150],650,Araona language
Arapaho art,,[150],650,Arapaho art
Arapaho beadwork,,[150],650,Arapaho beadwork
Arapaho Indians,,[150],650,Arapaho Indians
Arapaho language,,[150],650,Arapaho language
Arapaho mythology,,[150],650,Arapaho mythology
Arapaho Tribe,,[151],651,Arapaho Tribe
"Arapaho Tribe of the Wind River Reservation, Wyoming",,[151],651,"Arapaho Tribe of the Wind River Reservation, Wyoming"
Arara Indians,,[150],650,Arara Indians
Arara mythology,,[150],650,Arara mythology
Arasa language,,[150],650,Arasa language
Arawak art,,[150],650,Arawak art
Arawak Indians,,[150],650,Arawak Indians
Arawak language,,[150],650,Arawak language
Arawak pottery,,[150],650,Arawak pottery
Arawakan Indians,,[150],650,Arawakan Indians
Arawakan languages,,[150],650,Arawakan languages
Arawakan mythology,,[150],650,Arawakan mythology
Araweté Indians,,[150],650,Araweté Indians
Arctic Bay (Inuit community),,[151],651,Arctic Bay (Inuit community)
Arecuna dialect,,[150],650,Arecuna dialect
Arecuna Indians,,[150],650,Arecuna Indians
Arekena Indians,,[150],650,Arekena Indians
Arekena language,,[150],650,Arekena language
Arekena mythology,,[150],650,Arekena mythology
Argentine poetry—Indian authors,y,[150],650,Argentine poetry ǂx Indian authors
Arhuaco Indians,,[150],650,Arhuaco Indians
Arhuaco mythology,,[150],650,Arhuaco mythology
Arikara Indians,,[150],650,Arikara Indians
Arikara language,,[150],650,Arikara language
Arikara mythology,,[150],650,Arikara mythology
Arikara Tribe,,[151],651,Arikara Tribe
Arikara women,,[150],650,Arikara women
Arnapik Site (Nunavut),,[151],651,Arnapik Site (Nunavut)
Aroland (First Nation),,[151],651,Aroland (First Nation)
Aroostook Band of Micmac Indians of Maine,,[151],651,Aroostook Band of Micmac Indians of Maine
Aroostook Band of Micmacs,,[151],651,Aroostook Band of Micmacs
Arosaguntacook Indians,,[150],650,Arosaguntacook Indians
Arosaguntacook Tribe,,[151],651,Arosaguntacook Tribe
Art—Indian influences,y,[150],650,Art ǂx Indian influences
"Art, Chukchi",,[150],650,"Art, Chukchi"
"Art, Mexican—Indian influences",y,[150],650,"Art, Mexican ǂx Indian influences"
"Arts, Modern—Indian influences",y,[150],650,"Arts, Modern ǂx Indian influences"
Arua Indians,,[150],650,Arua Indians
Arviat (Inuit community),,[151],651,Arviat (Inuit community)
Arviat (Nunavut),,[151],651,Arviat (Nunavut)
Asa'carsarmiut Tribe,,[151],651,Asa'carsarmiut Tribe
Ashaninca cosmology,,[150],650,Ashaninca cosmology
Ashaninca Indians,,[150],650,Ashaninca Indians
Ashaninca mythology,,[150],650,Ashaninca mythology
Ashcroft (First Nation),,[151],651,Ashcroft (First Nation)
Ashluslay Indians,,[150],650,Ashluslay Indians
Ashluslay mythology,,[150],650,Ashluslay mythology
Assateague Indians,,[150],650,Assateague Indians
"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",,[151],651,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana"
Assiniboine beadwork,,[150],650,Assiniboine beadwork
Assiniboine dialect,,[150],650,Assiniboine dialect
Assiniboine Indians,,[150],650,Assiniboine Indians
Association of Métis and Non-status Indians of Saskatchewan,,[151],651,Association of Métis and Non-status Indians of Saskatchewan
Asto Indians,,[150],650,Asto Indians
Asurini art,,[150],650,Asurini art
Asurini Indians,,[150],650,Asurini Indians
Atacameño Indians,,[150],650,Atacameño Indians
Atacameno language,,[150],650,Atacameno language
Atakapa Indians,,[150],650,Atakapa Indians
Atakapa language,,[150],650,Atakapa language
Atfalati Indians,,[150],650,Atfalati Indians
Athabasca Chipewyan First Nation,,[151],651,Athabasca Chipewyan First Nation
Athapascan art,,[150],650,Athapascan art
Athapascan beadwork,,[150],650,Athapascan beadwork
Athapascan embroidery,,[150],650,Athapascan embroidery
Athapascan Indians,,[150],650,Athapascan Indians
Athapascan languages,,[150],650,Athapascan languages
Athapascan mythology,,[150],650,Athapascan mythology
Athapascan women,,[150],650,Athapascan women
Athapascan youth,,[150],650,Athapascan youth
Atikameksheng Anishnawbek,,[151],651,Atikameksheng Anishnawbek
Atikamekw d'Opitciwan (First Nation),,[151],651,Atikamekw d'Opitciwan (First Nation)
Atikamekw de Manawan (First Nation),,[151],651,Atikamekw de Manawan (First Nation)
Atikamekw Indians,,[150],650,Atikamekw Indians
Atikamekw language,,[150],650,Atikamekw language
Atoka County (Indian Territory),,[151],651,Atoka County (Indian Territory)
Atqasuk Village,,[151],651,Atqasuk Village
Atsugewi Indians,,[150],650,Atsugewi Indians
Atsugewi language,,[150],650,Atsugewi language
Attawapiskat (First Nation),,[151],651,Attawapiskat (First Nation)
Attawapiskat Indian Reserve No. 91 (Ont.),,[151],651,Attawapiskat Indian Reserve No. 91 (Ont.)
Attawapiskat Indian Reserve No. 91A (Ont.),,[151],651,Attawapiskat Indian Reserve No. 91A (Ont.)
Aub-ba-nauba's Band of Potawatomi Indians,,[151],651,Aub-ba-nauba's Band of Potawatomi Indians
"Augustine Band of Cahuilla Indians, California",,[151],651,"Augustine Band of Cahuilla Indians, California"
Augustine Band of Cahuilla Mission Indians of the Augustine Reservation,,[151],651,Augustine Band of Cahuilla Mission Indians of the Augustine Reservation
Aundeck-Omni-Kaning (First Nation),,[151],651,Aundeck-Omni-Kaning (First Nation)
Aupaluk (Inuit community),,[151],651,Aupaluk (Inuit community)
Autobiography—Indian authors,y,[150],650,Autobiography ǂx Indian authors
Ava-Canoeiro Indians,,[150],650,Ava-Canoeiro Indians
Awakateko Indians,,[150],650,Awakateko Indians
Awakateko language,,[150],650,Awakateko language
Ayaman Indians,,[150],650,Ayaman Indians
Ayarmaca Indians,,[150],650,Ayarmaca Indians
Aymara astronomy,,[150],650,Aymara astronomy
Aymara calendar,,[150],650,Aymara calendar
Aymara children,,[150],650,Aymara children
Aymara cosmology,,[150],650,Aymara cosmology
Aymara dance,,[150],650,Aymara dance
Aymara Indians,,[150],650,Aymara Indians
Aymara language,,[150],650,Aymara language
Aymara mythology,,[150],650,Aymara mythology
Aymara philosophy,,[150],650,Aymara philosophy
Aymara textile fabrics,,[150],650,Aymara textile fabrics
Aymara women,,[150],650,Aymara women
Aymara youth,,[150],650,Aymara youth
Aztec architecture,,[150],650,Aztec architecture
Aztec art,,[150],650,Aztec art
Aztec astrology,,[150],650,Aztec astrology
Aztec astronomy,,[150],650,Aztec astronomy
Aztec calendar,,[150],650,Aztec calendar
Aztec cartography,,[150],650,Aztec cartography
Aztec children,,[150],650,Aztec children
Aztec chronology,,[150],650,Aztec chronology
Aztec cooking,,[150],650,Aztec cooking
Aztec cosmology,,[150],650,Aztec cosmology
Aztec dance,,[150],650,Aztec dance
Aztec ethics,,[150],650,Aztec ethics
Aztec goddesses,,[150],650,Aztec goddesses
Aztec goddesses in art,,[150],650,Aztec goddesses in art
Aztec gods,,[150],650,Aztec gods
Aztec gods in art,,[150],650,Aztec gods in art
Aztec goldwork,,[150],650,Aztec goldwork
Aztec horse,,[150],650,Aztec horse
Aztec law,,[150],650,Aztec law
Aztec magic,,[150],650,Aztec magic
Aztec mural painting and decoration,,[150],650,Aztec mural painting and decoration
Aztec mythology,,[150],650,Aztec mythology
Aztec mythology in art,,[150],650,Aztec mythology in art
Aztec mythology in literature,,[150],650,Aztec mythology in literature
Aztec painting,,[150],650,Aztec painting
Aztec philosophy,,[150],650,Aztec philosophy
Aztec pottery,,[150],650,Aztec pottery
Aztec sculpture,,[150],650,Aztec sculpture
Aztec textile fabrics,,[150],650,Aztec textile fabrics
Aztec women,,[150],650,Aztec women
Azteca (Insects),,[150],650,Azteca (Insects)
Azteco-Tanoan Indians,,[150],650,Azteco-Tanoan Indians
Aztecs,,[150],650,Aztecs
Aztlán,,[150],650,Aztlán
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",,[151],651,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin"
Bad River Reservation (Wis.),,[151],651,Bad River Reservation (Wis.)
Bakairi Indians,,[150],650,Bakairi Indians
Bakairi language,,[150],650,Bakairi language
Baker Lake (Inuit community),,[151],651,Baker Lake (Inuit community)
Baker Village Site (Nev.),,[151],651,Baker Village Site (Nev.)
Ballast Point Site (Calif.),,[151],651,Ballast Point Site (Calif.)
Bánari (Mexico),,[151],651,Bánari (Mexico)
Bande des Innus de Pessamit,,[151],651,Bande des Innus de Pessamit
Bandelier National Monument (N.M.),,[151],651,Bandelier National Monument (N.M.)
Baniwa Indians,,[150],650,Baniwa Indians
Baniwa language,,[150],650,Baniwa language
Bannock Indians,,[150],650,Bannock Indians
"Baranof Castle State Historic Site (Sitka, Alaska)",,[151],651,"Baranof Castle State Historic Site (Sitka, Alaska)"
Barasana Indians,,[150],650,Barasana Indians
Barasana mythology,,[150],650,Barasana mythology
Barasana-Eduria language,,[150],650,Barasana-Eduria language
Baré Indians,,[150],650,Baré Indians
Baré language,,[150],650,Baré language
Barren Lands (First Nation),,[151],651,Barren Lands (First Nation)
Basket-Maker Indians,,[150],650,Basket-Maker Indians
Batchewana First Nation,,[151],651,Batchewana First Nation
Bathurst Inlet (Nunavut),,[151],651,Bathurst Inlet (Nunavut)
"Battle Island, Battle of, N.Y., 1756",,[150],650,"Battle Island, Battle of, N.Y., 1756"
Battle Mountain Indian Colony (Nev.),,[151],651,Battle Mountain Indian Colony (Nev.)
Bauré cosmology,,[150],650,Bauré cosmology
Bauré Indians,,[150],650,Bauré Indians
Bauré language,,[150],650,Bauré language
Bay Chimo (Nunavut),,[151],651,Bay Chimo (Nunavut)
"Bay Mills Indian Community, Michigan",,[151],651,"Bay Mills Indian Community, Michigan"
Bay Mills Reservation (Mich.),,[151],651,Bay Mills Reservation (Mich.)
Bear dance,,[150],650,Bear dance
"Bear Paw, Battle of, Mont., 1877",,[150],650,"Bear Paw, Battle of, Mont., 1877"
"Bear River Band of the Rohnerville Rancheria, California",,[151],651,"Bear River Band of the Rohnerville Rancheria, California"
Bear River First Nation,,[151],651,Bear River First Nation
"Bear River Massacre, Idaho, 1863",,[150],650,"Bear River Massacre, Idaho, 1863"
Beardy's and Okemasis (First Nation),,[151],651,Beardy's and Okemasis (First Nation)
Bearlake Indians,,[150],650,Bearlake Indians
Bearskin Lake (First Nation),,[151],651,Bearskin Lake (First Nation)
Bearspaw (First Nation),,[151],651,Bearspaw (First Nation)
Beausoleil (First Nation),,[151],651,Beausoleil (First Nation)
Beaver First Nation,,[151],651,Beaver First Nation
Beaver Village,,[151],651,Beaver Village
Beaverhouse First Nation,,[151],651,Beaverhouse First Nation
Beecher Bay (First Nation),,[151],651,Beecher Bay (First Nation)
"Beecher Island, Battle of, Colo., 1868",,[150],650,"Beecher Island, Battle of, Colo., 1868"
"Behdzi Ahda"" First Nation",,[151],651,"Behdzi Ahda"" First Nation"
Belantse-etoa or Minnetaree Tribe,,[151],651,Belantse-etoa or Minnetaree Tribe
"Belly River, Battle of, Alta., 1870",,[150],650,"Belly River, Battle of, Alta., 1870"
Benoit 1st Nation,,[151],651,Benoit 1st Nation
Beothuk Indians,,[150],650,Beothuk Indians
Beothuk language,,[150],650,Beothuk language
Berens River (First Nation),,[151],651,Berens River (First Nation)
Bering Land Bridge,,[151],651,Bering Land Bridge
Berry Creek Rancheria of Maidu Indians of California,,[151],651,Berry Creek Rancheria of Maidu Indians of California
"Bethlehem (Pa.)—History—Siege, 1755",y,[151],651,"Bethlehem (Pa.) ǂx History ǂy Siege, 1755"
Betsiamites Indian Reserve (Québec),,[151],651,Betsiamites Indian Reserve (Québec)
Bidarkas,,[150],650,Bidarkas
Big Cove First Nation,,[151],651,Big Cove First Nation
Big Cypress Reservation (Fla.),,[151],651,Big Cypress Reservation (Fla.)
"Big Dry Wash, Battle of, Ariz., 1882",,[150],650,"Big Dry Wash, Battle of, Ariz., 1882"
Big Grassy (First Nation),,[151],651,Big Grassy (First Nation)
"Big Hole, Battle of the, Mont., 1877",,[150],650,"Big Hole, Battle of the, Mont., 1877"
Big House Ceremony (Delaware rite),,[150],650,Big House Ceremony (Delaware rite)
Big Island Lake Cree Nation,,[151],651,Big Island Lake Cree Nation
"Big Lagoon Rancheria, California",,[151],651,"Big Lagoon Rancheria, California"
"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California",,[151],651,"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California"
Big Pine Paiute Tribe of the Owens Valley,,[151],651,Big Pine Paiute Tribe of the Owens Valley
Big River (First Nation),,[151],651,Big River (First Nation)
Big Sandy Rancheria of Mono Indians of California,,[151],651,Big Sandy Rancheria of Mono Indians of California
Big Sandy Rancheria of Western Mono Indians of California,,[151],651,Big Sandy Rancheria of Western Mono Indians of California
"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",,[151],651,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California"
Big Valley Rancheria (Calif.),,[151],651,Big Valley Rancheria (Calif.)
Bigstone Cree Nation,,[151],651,Bigstone Cree Nation
Biigtigong Nishnaabeg (First Nation),,[151],651,Biigtigong Nishnaabeg (First Nation)
Biinjitiwaabik Zaaging Anishinaabek,,[151],651,Biinjitiwaabik Zaaging Anishinaabek
Biloxi Indians,,[150],650,Biloxi Indians
Biloxi language,,[150],650,Biloxi language
Binche Whut'en First Nation,,[151],651,Binche Whut'en First Nation
Bingwi Neyaashi Anishinaabek,,[151],651,Bingwi Neyaashi Anishinaabek
Birch Creek Tribe,,[151],651,Birch Creek Tribe
Birch Narrows First Nation,,[151],651,Birch Narrows First Nation
Birdstones,,[150],650,Birdstones
Birdtail Sioux (First Nation),,[151],651,Birdtail Sioux (First Nation)
Birnirk culture,,[150],650,Birnirk culture
Bishop Paiute Tribe,,[151],651,Bishop Paiute Tribe
Black Bob Indian Reservation (Kan.),,[151],651,Black Bob Indian Reservation (Kan.)
"Black Boys Rebellion, Pa., 1765",,[150],650,"Black Boys Rebellion, Pa., 1765"
Black drink,,[150],650,Black drink
"Black Hawk War (Utah), 1865-1872",,[150],650,"Black Hawk War (Utah), 1865-1872"
"Black Hawk War, 1832",,[150],650,"Black Hawk War, 1832"
"Black Hills War, 1876-1877",,[150],650,"Black Hills War, 1876-1877"
Black Lake (First Nation),,[151],651,Black Lake (First Nation)
Black people—Relations with Indians,y,[150],650,Black people ǂx Relations with Indians
Black River First Nation,,[151],651,Black River First Nation
Black Seminoles,,[150],650,Black Seminoles
Blackduck culture,,[150],650,Blackduck culture
Blackfeet Band of Dakota or Sioux Indians,,[151],651,Blackfeet Band of Dakota or Sioux Indians
Blackfeet Indian Reservation (Mont.),,[151],651,Blackfeet Indian Reservation (Mont.)
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,,[151],651,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana
Blessingway (Navajo rite),,[150],650,Blessingway (Navajo rite)
Blood (First Nation),,[151],651,Blood (First Nation)
Blood Indian Reserve (Alta.),,[151],651,Blood Indian Reserve (Alta.)
Blood quantum (United States law),,[150],650,Blood quantum (United States law)
Bloodvein (First Nation),,[151],651,Bloodvein (First Nation)
Blue County (Indian Territory),,[151],651,Blue County (Indian Territory)
"Blue Lake Rancheria, California",,[151],651,"Blue Lake Rancheria, California"
"Blue Licks, Battle of the, Ky., 1782",,[150],650,"Blue Licks, Battle of the, Ky., 1782"
"Blue Water Creek, Battle of, Neb., 1855",,[150],650,"Blue Water Creek, Battle of, Neb., 1855"
Blueberry River First Nation,,[151],651,Blueberry River First Nation
Bob Williams Site (Tex.),,[151],651,Bob Williams Site (Tex.)
Bocootawwonauke Indians,,[150],650,Bocootawwonauke Indians
Bois Fort Reservation (Minn.),,[151],651,Bois Fort Reservation (Minn.)
Bois Forte Band of Chippewa Indians,,[151],651,Bois Forte Band of Chippewa Indians
Boktucklo County (Indian Territory),,[151],651,Boktucklo County (Indian Territory)
Bonaparte (First Nation),,[151],651,Bonaparte (First Nation)
Boothroyd (First Nation),,[151],651,Boothroyd (First Nation)
Bora architecture,,[150],650,Bora architecture
Bora baskets,,[150],650,Bora baskets
Bora Indians,,[150],650,Bora Indians
Bora language,,[150],650,Bora language
Borari Indians,,[150],650,Borari Indians
Bororo astronomy,,[150],650,Bororo astronomy
Bororo featherwork,,[150],650,Bororo featherwork
